                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2096,                 1.7042,                0.46585,                0.99436,             0.00090451
                      1,                0.87903,                0.87273,                0.81955,                0.99593,             0.00065451
                      2,                0.66779,                0.82634,                0.84461,                0.98966,             0.00034549
                      3,                 0.5367,                0.68631,                0.90508,                0.99624,             9.5492e-05
                      4,                0.49303,                0.65515,                0.92168,                0.99624,                  0.001
                      5,                0.77325,                 0.9071,                0.79323,                0.99185,             0.00097553
                      6,                0.62109,                0.78127,                0.86466,                0.99749,             0.00090451
                      7,                0.56101,                0.76414,                0.87907,                0.99311,             0.00079389
                      8,                0.52636,                0.70307,                0.91385,                0.99311,             0.00065451
                      9,                0.50494,                0.70293,                0.90852,                0.99749,                 0.0005
                     10,                0.48359,                0.67447,                0.91761,                0.99311,             0.00034549
                     11,                0.46753,                0.64241,                0.92857,                 0.9953,             0.00020611
                     12,                0.45703,                0.64457,                0.92951,                0.99499,             9.5492e-05
                     13,                0.45409,                0.64362,                0.93045,                0.99499,             2.4472e-05
                     14,                0.45283,                0.64285,                0.92951,                0.99499,                  0.001
                     15,                0.87811,                 0.7522,                0.88503,                0.99217,             0.00099384
                     16,                0.64084,                0.68188,                0.91291,                0.99624,             0.00097553
                     17,                0.56948,                0.67159,                0.91447,                0.99499,              0.0009455
                     18,                0.53255,                0.67623,                0.91353,                0.99373,             0.00090451
                     19,                0.52985,                0.64721,                0.93014,                 0.9953,             0.00085355
                     20,                0.52208,                0.65569,                0.92638,                0.99373,             0.00079389
                     21,                0.50815,                0.64201,                0.92794,                0.99655,               0.000727
                     22,                0.48686,                0.66034,                0.92356,                0.99279,             0.00065451
                     23,                 0.4734,                0.66266,                 0.9198,                 0.9953,             0.00057822
                     24,                0.49278,                0.67127,                0.92262,                 0.9953,                 0.0005
                     25,                0.46107,                0.66693,                0.92043,                0.99499,             0.00042178
                     26,                0.45564,                0.66464,                0.91855,                0.99436,             0.00034549
