                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,1.3464,1.2667,0.60911,0.96869,0.00090451
1,1.0269,1.622,0.58871,0.98102,0.00065451
2,0.83009,1.0225,0.75901,0.9962,0.00034549
3,0.65683,0.89721,0.84298,0.97533,9.55E-05
4,0.55361,0.79734,0.87619,0.98387,0.001
5,0.84175,1.0011,0.80408,0.9834,0.00097553
6,0.68772,0.9404,0.8297,0.98482,0.00090451
7,0.60734,0.86107,0.85531,0.98767,0.00079389
8,0.56558,1.2051,0.79412,0.96774,0.00065451
9,0.52928,1.0347,0.77135,0.98529,0.0005
10,0.49656,0.80431,0.88567,0.97818,0.00034549
11,0.48114,0.76396,0.89042,0.98482,0.00020611
12,0.47123,0.74984,0.89658,0.98197,9.55E-05
13,0.46492,0.75652,0.89089,0.98245,2.45E-05
14,0.46134,0.75555,0.89089,0.98292,0.001
15,0.98625,0.93734,0.80598,0.99051,0.00099384
16,0.7236,0.8158,0.87381,0.98719,0.00097553
17,0.6131,0.76637,0.89658,0.99051,0.0009455
18,0.57842,0.79698,0.88662,0.98624,0.00090451
19,0.55908,0.77491,0.89089,0.98482,0.00085355
20,0.5245,0.77245,0.88947,0.98387,0.00079389
21,0.53604,0.75086,0.90228,0.98672,0.000727
22,0.52497,0.74772,0.89374,0.98814,0.00065451
23,0.48939,0.75112,0.89231,0.98861,0.00057822
24,0.48571,0.74943,0.89089,0.98814,0.0005
25,0.48873,0.74564,0.89231,0.99051,0.00042178
,,,,,
,,,,,
"  22/155      3.3G       0.536       0.751       0.902       0.987: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 397/397 [07:39<00:00,  1.16s/it]",,,,,
Current Learning Rate: 0.0007269952498697733,,,,,
"macro_precision:0.908212,macro_recall:0.887027,macro_f1:0.894803,mcc:0.883477",,,,,
