                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,1.2266,13.5,0.093928,0.72865,0.00090451
1,0.94947,1.2239,0.62666,0.99099,0.00065451
2,0.75913,1.2369,0.63615,0.99146,0.00034549
3,0.60676,0.7544,0.89421,0.98814,9.55E-05
4,0.52156,0.69514,0.90844,0.99241,0.001
5,0.78728,0.96569,0.77514,0.99241,0.00097553
6,0.66564,0.9524,0.79981,0.98577,0.00090451
7,0.59915,0.77365,0.87903,0.99715,0.00079389
8,0.54025,0.75362,0.88472,0.99194,0.00065451
9,0.51188,0.74219,0.90417,0.9962,0.0005
10,0.4853,0.70257,0.90702,0.98482,0.00034549
11,0.46898,0.66304,0.91793,0.98719,0.00020611
12,0.45754,0.65466,0.91983,0.99004,9.55E-05
13,0.45517,0.65757,0.92268,0.98909,2.45E-05
14,0.45354,0.65687,0.9241,0.99099,0.001
15,0.91452,1.3751,0.57068,0.97249,0.00099384
16,0.70758,0.786,0.88188,0.99383,0.00097553
17,0.62544,0.72382,0.89801,0.98387,0.0009455
18,0.56196,0.69039,0.90797,0.98909,0.00090451
19,0.54906,0.68084,0.9203,0.99194,0.00085355
20,0.52764,0.69291,0.91271,0.98814,0.00079389
21,0.51089,0.67623,0.91888,0.98956,0.000727
22,0.49817,0.6743,0.92268,0.98672,0.00065451
23,0.47063,0.66532,0.92268,0.98861,0.00057822
24,0.47526,0.66711,0.92505,0.98719,0.0005
25,0.48587,0.66798,0.92362,0.98861,0.00042178
26,0.46879,0.66973,0.91888,0.98767,0.00034549
,,,,,
,,,,,
"25/155     3.32G       0.475       0.667       0.925       0.987: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 397/397 [06:54<00:00,  1.04s/it]",,,,,
Current Learning Rate: 0.0005,,,,,
"macro_precision:0.919136,macro_recall:0.916805,macro_f1:0.917736,mcc:0.910581",,,,,
                     27,                0.45505,                0.66754,                0.91841,                0.98956,               0.000273
