                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2169,                 1.3248,                0.61907,                0.94877,             0.00090451
                      1,                0.93986,                 1.2799,                0.61575,                0.98814,             0.00065451
                      2,                0.73175,                0.97609,                0.77324,                0.98767,             0.00034549
                      3,                 0.5801,                0.74551,                0.89516,                0.99146,             9.5492e-05
                      4,                0.51238,                0.69222,                0.91034,                0.98814,                  0.001
                      5,                0.81682,                  1.197,                0.70731,                0.97486,             0.00097553
                      6,                 0.6626,                0.81461,                0.85863,                0.99146,             0.00090451
                      7,                0.60943,                0.84107,                0.84345,                0.98909,             0.00079389
                      8,                0.54971,                0.72977,                0.89848,                0.99099,             0.00065451
                      9,                0.52373,                0.75051,                0.89658,                0.98956,                 0.0005
                     10,                0.49475,                0.71727,                0.89943,                0.98909,             0.00034549
                     11,                0.47754,                0.66424,                0.92315,                0.99099,             0.00020611
                     12,                0.46315,                0.66453,                0.91793,                0.99099,             9.5492e-05
                     13,                0.45746,                 0.6642,                0.91983,                0.99099,             2.4472e-05
                     14,                0.45568,                0.66503,                0.91698,                0.99099,                  0.001
                     15,                0.85265,                0.86988,                0.84962,                0.98624,             0.00099384
                     16,                0.63089,                0.73275,                0.89516,                0.99099,             0.00097553
                     17,                0.57025,                0.72056,                 0.9056,                0.98482,              0.0009455
                     18,                0.54482,                0.70229,                0.90655,                0.98861,             0.00090451
                     19,                 0.5358,                 0.7177,                 0.9018,                0.98529,             0.00085355
                     20,                0.52684,                0.68508,                0.91224,                0.99004,             0.00079389
                     21,                0.50844,                0.69765,                0.90797,                0.99194,               0.000727
                     22,                0.49745,                0.69884,                0.90797,                0.98529,             0.00065451
                     23,                0.46782,                0.68811,                0.91793,                0.98482,             0.00057822
                     24,                0.47543,                0.70823,                0.90465,                0.98672,                 0.0005
                     25,                0.47438,                0.70888,                0.90702,                0.98767,             0.00042178
                     26,                0.46121,                0.70067,                0.90797,                0.98767,             0.00034549
                     27,                0.45228,                0.69845,                0.90892,                0.98672,               0.000273
                     28,                 0.4505,                0.69503,                0.90987,                0.98529,             0.00020611
                     29,                0.44997,                0.68922,                0.91176,                0.98624,             0.00014645
                     30,                0.44894,                0.68831,                0.91129,                0.98482,             9.5492e-05
                     31,                0.44862,                0.68989,                0.91129,                0.98482,             5.4497e-05
                     32,                0.44835,                0.68823,                0.91034,                0.98482,             2.4472e-05
                     33,                0.44812,                0.68857,                0.91082,                0.98529,             6.1558e-06
                     34,                0.44792,                 0.6888,                0.91176,                0.98529,                  0.001
